Country,Year,Death rate
Qatar,2019,131.24345
Region of the Americas (WHO),2019,23.935587
Romania,2019,45.280422
Russia,2019,33.36538
Rwanda,2019,153.25407
Saint Kitts and Nevis,2019,20.684362
Saint Lucia,2019,41.984207
Saint Vincent and the Grenadines,2019,52.865406
Samoa,2019,131.08318
San Marino,2019,9.186055
Sao Tome and Principe,2019,146.70773
Saudi Arabia,2019,111.97603
Scotland,2019,7.1982756
Senegal,2019,150.72742
Serbia,2019,82.932755
Seychelles,2019,35.563305
Sierra Leone,2019,203.1307
Singapore,2019,18.81165
Slovakia,2019,39.423428
Slovenia,2019,19.903786
Solomon Islands,2019,432.9278
Somalia,2019,280.0036
South Africa,2019,72.759476
South Asia (WB),2019,165.50208
South Korea,2019,27.515686
South Sudan,2019,159.788
South-East Asia Region (WHO),2019,147.17587
Spain,2019,10.370437
Sri Lanka,2019,62.616005
Sub-Saharan Africa (WB),2019,154.40019
Sudan,2019,149.32846
Suriname,2019,53.606895
Sweden,2019,3.2338781
Switzerland,2019,8.173524
Syria,2019,101.42362
Taiwan,2019,31.655106
Tajikistan,2019,181.85791
Tanzania,2019,148.23813
Thailand,2019,42.003178
Togo,2019,175.52834
Tokelau,2019,17.55899
Tonga,2019,65.93516
Trinidad and Tobago,2019,49.94125
Tunisia,2019,65.18696
Turkey,2019,53.324047
Turkmenistan,2019,98.53708
Tuvalu,2019,39.661762
Uganda,2019,152.24588
Ukraine,2019,60.948162
United Arab Emirates,2019,103.76123
United Kingdom,2019,11.192642
United States,2019,10.551644
United States Virgin Islands,2019,18.28917
Uruguay,2019,14.398082
Uzbekistan,2019,199.38559
Vanuatu,2019,250.74625
Venezuela,2019,45.010475
Vietnam,2019,86.5188
Wales,2019,10.787013
Western Pacific Region (WHO),2019,83.14126
World,2019,85.6172
Yemen,2019,153.9878
Zambia,2019,150.8416
Zimbabwe,2019,165.7244
