Country,Factor,Death Rate
Switzerland,Diet low in legumes,20.48095441
Switzerland,Low birth weight and short gestation,1.44765304
Switzerland,Kidney dysfunction,50.29519955
Switzerland,High LDL cholesterol,73.14745479
Global,Unsafe water source,15.89866862
Global,Unsafe sanitation,9.778202393
Global,Air pollution,86.2264306
Global,Lead exposure,11.65389335
Global,Iron deficiency,0.547327069
Global,Vitamin A deficiency,0.308238552
Global,Zinc deficiency,0.036263946
Global,Smoking,99.43008884
Global,Secondhand smoke,16.85718008
Global,Alcohol use,31.560382
Global,Drug use,6.390875044
Global,High fasting plasma glucose,84.02491017
Global,High systolic blood pressure,140.1698838
Global,High body-mass index,64.87085837
Global,Diet low in fruits,13.5188321
Global,Diet low in vegetables,6.841792761
Global,Diet low in whole grains,23.84290247
Global,Diet low in nuts and seeds,7.433174246
Global,Diet low in milk,2.151303606
Global,Diet high in red meat,11.57581856
Global,Diet high in processed meat,3.932611563
Global,Diet high in sugar-sweetened beverages,3.130459456
Global,Diet low in fiber,7.834917303
Global,Diet low in seafood omega-3 fatty acids,4.359046941
Global,Diet low in polyunsaturated fatty acids,4.474778379
Global,Diet high in trans fatty acids,8.335818336
Global,Diet high in sodium,24.36658467
Global,Diet low in calcium,1.78218511
Global,All risk factors,452.3452025
Global,Child growth failure,13.76039771
Global,Diet low in legumes,14.42880954
Global,Low birth weight and short gestation,23.33427808
Global,Kidney dysfunction,40.86030759
Global,High LDL cholesterol,56.82718406
India,Unsafe water source,36.54901073
India,Unsafe sanitation,20.93199881
India,Air pollution,119.8908994
India,Lead exposure,16.7190445
India,Iron deficiency,0.726131428
India,Vitamin A deficiency,0.107897892
India,Zinc deficiency,0.024947217
India,Smoking,72.86095959
India,Secondhand smoke,17.26444373
India,Alcohol use,24.71369016
India,Drug use,5.242138547
India,High fasting plasma glucose,80.67218804
India,High systolic blood pressure,105.8374738
India,High body-mass index,41.64126409
India,Diet low in fruits,18.42460106
India,Diet low in vegetables,9.635925626
India,Diet low in whole grains,18.57019367
India,Diet low in nuts and seeds,11.80495622
India,Diet low in milk,1.178797263
India,Diet high in red meat,1.794488162
India,Diet high in processed meat,1.880053359
India,Diet high in sugar-sweetened beverages,1.79020855
India,Diet low in fiber,6.421154311
India,Diet low in seafood omega-3 fatty acids,4.580013213
India,Diet low in polyunsaturated fatty acids,5.674256308
India,Diet high in trans fatty acids,10.38634277
India,Diet high in sodium,12.56893722
India,Diet low in calcium,0.971073298
India,All risk factors,421.0129943
India,Child growth failure,8.988091616
India,Diet low in legumes,13.96828642
India,Low birth weight and short gestation,32.88584113
India,Kidney dysfunction,33.75398928
India,High LDL cholesterol,45.30740356
China,Unsafe water source,0.229908781
China,Unsafe sanitation,0.133610936
China,Air pollution,129.9450192
China,Lead exposure,19.84042561
China,Iron deficiency,0.014186825
China,Vitamin A deficiency,0.001460796
China,Zinc deficiency,4.40E-05
China,Smoking,170.0470254
China,Secondhand smoke,29.25116449
China,Alcohol use,36.18366583
China,Drug use,5.992770011
China,High fasting plasma glucose,75.05564059
China,High systolic blood pressure,182.7875233
China,High body-mass index,53.76298571
China,Diet low in fruits,16.24914146
China,Diet low in vegetables,1.104209995
China,Diet low in whole grains,26.96086002
China,Diet low in nuts and seeds,6.068072351
China,Diet low in milk,3.537131544
China,Diet high in red meat,22.73563275
China,Diet high in processed meat,1.651251111
China,Diet high in sugar-sweetened beverages,3.278627571
China,Diet low in fiber,5.439481693
China,Diet low in seafood omega-3 fatty acids,4.95305864
China,Diet low in polyunsaturated fatty acids,5.314506511
China,Diet high in trans fatty acids,7.529839596
China,Diet high in sodium,60.13883674
China,Diet low in calcium,2.820546579
China,All risk factors,509.651183
China,Child growth failure,1.490819744
China,Diet low in legumes,14.1878168
China,Low birth weight and short gestation,2.610390511
China,Kidney dysfunction,40.32319915
China,High LDL cholesterol,64.39925346
